Agency,Dataset Name,Reason for Removal
Department of Environmental Protection (DEP),DEP Green Infrastructure,An updated and regularly maintained version of this dataset appears on Open Data.
Department of Environmental Protection (DEP),DEP: CPR Data from July 2001 through June 2011,Not owned by DEP. Maintained by the Mayor's Office of Operations.
Department of Environmental Protection (DEP),Drought Regulation Penalty Schedule,"Not a regulary maintained or recorded metric, measurement, transaction, or determination related to the mission or performance of the agency."
Department of Environmental Protection (DEP),Hose Nozzle And Sprayer Survey,"Not a regulary maintained or recorded metric, measurement, transaction, or determination related to the mission or performance of the agency."
Department of Environmental Protection (DEP),Hydrostats,Geographical statistics about the streams and reservoirs of the Watershed. Not regularly maintained.
Department of Environmental Protection (DEP),Lead Kit Requests,A subset of a dataset maintained by 311 of service requests.
Department of Environmental Protection (DEP),Leaks And Their Costs,"Not a regulary maintained or recorded dataset or chart of metrics, measurements, transactions, and/or determinations related to the mission or performance of the agency."
Department of Environmental Protection (DEP),Reservoir Characteristics,Geographical statistics about the NYC water supply reservoirs. Not regularly maintained.
Department of Environmental Protection (DEP),Residential Water Use,"Not a regulary maintained or recorded dataset or chart of metrics, measurements, transactions, and/or determinations related to the mission or performance of the agency."
Department of Environmental Protection (DEP),School Monitoring Data,Historical dataset air quality. Not regularly maintained.
Department of Environmental Protection (DEP),Wastewater Treatment Plant Data,Statistical data about NYC's wastewater treatment facilities. Not regularly maintained.
Department of Environmental Protection (DEP),Wastewater Treatment Plants,Statistical data about NYC's wastewater treatment facilities. Not regularly maintained.
Department of Environmental Protection (DEP),Water Quality complaints,Not owned by DEP. It is a filtered view of a 311 dataset.
Department of Environmental Protection (DEP),Water Use Restrictions - Summary of 15 RCNY Chapters 20 and 21,"Not a regulary maintained or recorded dataset or chart of metrics, measurements, transactions, and/or determinations related to the mission or performance of the agency."
Department of Environmental Protection (DEP),Watershed statistics,Geological statistics about the watershed surface. Not regularly updated.
Department of Environmental Protection (DEP),Watershed statistics,Table of geographical statistics of towns in and around the Watershed that is not regularly maintained.
Mayor’s Office of Management & Budget (OMB),Capital Commitments--Prel\Adpt,This data can be found in Capital Commitment Plan at the URL: https://data.cityofnewyork.us/City-Government/Capital-Commitment-Plan/2cmn-uidm. This new dataset replaced “Capital Commitments—Prel\Adpt” and “Capital Commitments—Exec” in open data portal. All historical data in these two datasets have been merged in this new created dataset.
Mayor’s Office of Management & Budget (OMB),Capital Commitments -- Exec,This data can be found in Capital Commitment Plan at the URL: https://data.cityofnewyork.us/City-Government/Capital-Commitment-Plan/2cmn-uidm. This new dataset replaced “Capital Commitments—Prel\Adpt” and “Capital Commitments—Exec” in open data portal. All historical data in these two datasets have been merged in this new created dataset.
Department of Transportation (DOT),Bicycle Network Connectivity Index,"Related data, Bike Routes and Bike Counts, are already on the Portal."
Department of Transportation (DOT),Real-Time Traffic Speed Data,This dataset is no longer maintained. This data can be found in  https://data.cityofnewyork.us/Transportation/DOT-Traffic-Speeds-NBE/8tdh-66hm and https://data.cityofnewyork.us/Transportation/Real-Time-Traffic-Speed-Data/qkm5-nuaq
Department of Sanitation (DSNY),DSNY's Refuse and Recycling Disposal Networks,This dataset contains out of date information and has been updated with two new spatial datasets which will be updated monthly:  DSNY Disposal Vendors and  DSNY Districts with Disposal Vendor Assignments
